Program Time [s],data 0,data 1
40.105,0,0
40.1149,0,0
40.1249,0,0
40.1349,0,0
40.1449,0,0
40.1549,0,0
40.1648,0,0
40.1748,0,0
40.1848,0,0
40.1948,0,0
40.2048,0,0
40.2148,0,0
40.2247,0,0
40.2346,0,0
40.2447,0,0
40.2547,0,0
40.2646,0,0
40.2745,0,0
40.2845,0,0
40.2945,0,0
40.3045,0,0
40.3145,0,0
40.3245,0,0
40.3344,0,0
40.3444,0,0
40.3544,0,0
40.3644,0,0
40.3744,0,0
40.3843,0,0
40.3943,0,0
40.4043,0,0
40.4143,0,0
40.4243,0,0
40.4343,0,0
40.4441,0,0
40.4541,0,0
40.4641,0,0
40.4742,0,0
40.4841,0,0
40.494,0,0
40.504,0,0
40.514,0,0
40.524,0,0
40.5339,0,0
40.5439,0,0
40.5539,0,0
40.5639,0,0
40.5739,0,0
40.5838,0,0
40.5938,0,0
40.6038,0,0
40.6138,0,0
40.6238,0,0
40.6337,0,0
40.6437,0,0
40.6537,0,0
40.6636,0,0
40.6736,0,0
40.6835,0,0
40.6935,0,0
40.7035,0,0
40.7135,0,0
40.7235,0,0
40.7335,0,0
40.7434,0,0
40.7534,0,0
40.7634,0,0
40.7734,0,0
40.7834,0,0
40.7934,0,0
40.8033,0,0
40.8133,0,0
40.8233,0,0
40.8333,0,0
40.8433,0,0
40.8533,0,0
40.8632,0,0
40.8732,0,0
40.8831,0,0
40.8932,0,0
40.9032,0,0
40.913,0,0
40.923,0,0
40.933,0,0
40.943,0,0
40.953,0,0
40.963,0,0
40.9729,0,0
40.9829,0,0
40.9929,0,0
41.0029,0,0
41.0129,0,0
41.0229,0,0
41.0328,0,0
41.0428,0,0
41.0528,0,0
41.0628,0,0
41.0728,0,0
41.0827,0,0
41.0926,0,0
41.1026,0,0
41.1127,0,0
41.1227,0,0
41.1326,0,0
41.1425,0,0
41.1525,0,0
41.1625,0,0
41.1725,0,0
41.1825,0,0
41.1925,0,0
41.2024,0,0
41.2124,0,0
41.2224,0,0
41.2324,0,0
41.2424,0,0
41.2523,0,0
41.2623,0,0
41.2723,0,0
41.2823,0,0
41.2923,0,0
41.3021,0,0
41.3121,0,0
41.3221,0,0
41.3321,0,0
41.3422,0,0
41.352,0,0
41.362,0,0
41.372,0,0
41.382,0,0
41.392,0,0
41.402,0,0
41.4119,0,0
41.4219,0,0
41.4319,0,0
41.4419,0,0
